uid,namedLocation,domainID,siteID,plotID,subplotID,startDate,endDate,flightYear,totalSampledArea,qualifyingVegetationArea,qualifyingVegetationPercent,dataQF,publicationDate,release
92455956-a0f1-4b9c-8332-422714f2d67d,CLBJ_024.basePlot.ltr,D11,CLBJ,CLBJ_024,31_400,2017-05-01,2017-05-01,2017,400,30,7.5,,20240104T224934Z,RELEASE-2024
a76e72b5-7f37-447b-8fcb-d4c4a0b797aa,CLBJ_018.basePlot.ltr,D11,CLBJ,CLBJ_018,31_400,2017-05-01,2017-05-01,2017,400,136,34,,20240104T224934Z,RELEASE-2024
c08cfdce-c992-4a60-bada-ed1cd952343f,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,31_400,2017-05-01,2017-05-01,2017,400,9,2.25,,20240104T224934Z,RELEASE-2024
e25b7a15-2fe1-4122-aa40-07ff6823d1e0,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,31_400,2017-05-01,2017-05-01,2017,400,400,100,,20240104T224934Z,RELEASE-2024
ce4a6dbb-3894-4948-9a2b-fc0f768dbe19,CLBJ_017.basePlot.ltr,D11,CLBJ,CLBJ_017,31_400,2018-04-24,2018-04-24,2018,400,371,92.75,,20240104T224934Z,RELEASE-2024
0ce76ffb-7067-41e6-acbb-0ded11299b20,CLBJ_020.basePlot.ltr,D11,CLBJ,CLBJ_020,31_400,2018-04-24,2018-04-24,2018,400,0,0,,20240104T224934Z,RELEASE-2024
e995ca82-db82-4ced-9d18-cec0d0fd2c47,CLBJ_002.basePlot.ltr,D11,CLBJ,CLBJ_002,31_400,2018-04-24,2018-04-24,2018,400,362,90.5,,20240104T224934Z,RELEASE-2024
8b652afa-9a12-4f76-b504-ea73af824d16,CLBJ_027.basePlot.ltr,D11,CLBJ,CLBJ_027,31_400,2018-04-24,2018-04-24,2018,400,400,100,,20240104T224934Z,RELEASE-2024
2958a629-8c07-439b-9fee-198d237d4586,CLBJ_026.basePlot.ltr,D11,CLBJ,CLBJ_026,31_400,2018-04-24,2018-04-24,2018,400,236,59,,20240104T224934Z,RELEASE-2024
d3d85382-7b9b-4a82-9a1f-ff2ac7526337,CLBJ_009.basePlot.ltr,D11,CLBJ,CLBJ_009,31_400,2018-04-24,2018-04-24,2018,400,252,63,,20240104T224934Z,RELEASE-2024
d5b28f7d-dfd4-4d6d-9b0e-e3d0eeed4f46,CLBJ_024.basePlot.ltr,D11,CLBJ,CLBJ_024,31_400,2018-04-24,2018-04-24,2018,400,29,7.25,,20240104T224934Z,RELEASE-2024
